address,class,city,state,latitude,longitude,accuracy,accuracy_type,zipcode,exact_match,geoid,geometry
1006 CHEYENNE RD NW,RESIDENTIAL,Cedar Rapids,IA,41.982087,-91.695366,1,rooftop,52405,Yes,191130011012001,POINT (-91.69536600000001 41.982087)
1007 NORWOOD DR SE,RESIDENTIAL,Cedar Rapids,IA,41.975439,-91.629751,1,rooftop,52403,Yes,191130028002003,POINT (-91.629751 41.975439)
1012 CHEYENNE RD NW,RESIDENTIAL,Cedar Rapids,IA,41.982282,-91.69538399999999,1,rooftop,52405,Yes,191130011012001,POINT (-91.69538399999999 41.982282)
1013 CHEYENNE RD NW,RESIDENTIAL,Cedar Rapids,IA,41.982267,-91.694855,1,rooftop,52405,Yes,191130011012000,POINT (-91.694855 41.982267)
1065 REGENT ST NE,RESIDENTIAL,Cedar Rapids,IA,42.024194,-91.650763,1,rooftop,52402,Yes,191130008001007,POINT (-91.650763 42.024194)
1100 ROCKFORD RD SW,EXEMPT COMM,Cedar Rapids,IA,41.965886,-91.68863,1,rooftop,52404,Yes,191130024001021,POINT (-91.68863 41.965886)
1104 18TH ST SW,RESIDENTIAL,Cedar Rapids,IA,41.965296,-91.69635500000001,1,rooftop,52404,Yes,191130024002013,POINT (-91.69635500000001 41.965296)
1201 15TH ST SE,MULTI-RES,Cedar Rapids,IA,41.973503,-91.649858,1,rooftop,52401,No,191130027001015,POINT (-91.64985799999999 41.973503)
1210 AUBURN DR SW,RESIDENTIAL,Cedar Rapids,IA,41.965327,-91.718699,1,rooftop,52404,No,191130010034004,POINT (-91.718699 41.965327)
1219 33RD ST SE,RESIDENTIAL,Cedar Rapids,IA,41.973299,-91.620723,1,rooftop,52403,Yes,191130028001015,POINT (-91.620723 41.973299)
1220 JACOLYN DR SW,COMMERCIAL,Cedar Rapids,IA,41.965033,-91.731204,1,rooftop,52404,Yes,191130010033007,POINT (-91.73120400000001 41.965033)
1221 SIERRA DR NE,RESIDENTIAL,Cedar Rapids,IA,42.001765999999996,-91.669239,1,rooftop,52402,No,191130009022012,POINT (-91.669239 42.001766)
1222 35TH ST NE,RESIDENTIAL,Cedar Rapids,IA,42.01412,-91.653536,1,rooftop,52402,Yes,191130008003002,POINT (-91.653536 42.01412)
1240 SIERRA DR NE,RESIDENTIAL,Cedar Rapids,IA,42.002365000000005,-91.66810699999999,1,rooftop,52402,No,191130009022007,POINT (-91.66810699999999 42.002365)
126 SUMMER CIR NE,MULTI-RES,Cedar Rapids,IA,42.030938,-91.689074,1,rooftop,52402,Yes,191130009011001,POINT (-91.68907400000001 42.030938)
1283 35TH ST NE,RESIDENTIAL,Cedar Rapids,IA,42.01381,-91.655713,1,rooftop,52402,Yes,191130014002001,POINT (-91.65571300000001 42.01381)
1310 K AVE NE,RESIDENTIAL,Cedar Rapids,IA,42.001235,-91.662188,1,rooftop,52402,Yes,191130013001008,POINT (-91.662188 42.001235)
1315 36TH ST SE,RESIDENTIAL,Cedar Rapids,IA,41.972691,-91.616744,1,rooftop,52403,Yes,191130028001011,POINT (-91.616744 41.972691)
1321 ELMHURST DR NE,RESIDENTIAL,Cedar Rapids,IA,42.003699,-91.65527800000001,1,rooftop,52402,Yes,191130013002008,POINT (-91.65527800000001 42.003699)
1324 20TH AVE SW,RESIDENTIAL,Cedar Rapids,IA,41.959073,-91.68986,1,rooftop,52404,Yes,191130025003017,POINT (-91.68986 41.959073)
1328 1ST ST SW,RESIDENTIAL,Cedar Rapids,IA,41.964560999999996,-91.66577099999999,1,rooftop,52404,Yes,191130026002019,POINT (-91.66577099999999 41.964561)
135 20TH AVE SW,RESIDENTIAL,Cedar Rapids,IA,41.958346999999996,-91.658746,1,rooftop,52404,No,191130026001019,POINT (-91.65874599999999 41.958347)
1361 20TH AVE SW,RESIDENTIAL,Cedar Rapids,IA,41.958624,-91.691175,1,rooftop,52404,Yes,191130025003022,POINT (-91.691175 41.958624)
1409 HAROLD DR SE,RESIDENTIAL,Cedar Rapids,IA,41.971253999999995,-91.615248,1,rooftop,52403,Yes,191130028003009,POINT (-91.61524799999999 41.97125399999999)
1419 WILDWOOD DR NE,RESIDENTIAL,Cedar Rapids,IA,42.003603999999996,-91.657484,1,rooftop,52402,Yes,191130013002006,POINT (-91.657484 42.003604)
1510 2ND ST SW,EXEMPT COMM,Cedar Rapids,IA,41.962765999999995,-91.666219,1,rooftop,52404,Yes,191130026002025,POINT (-91.666219 41.96276599999999)
1515 N ST SW,RESIDENTIAL,Cedar Rapids,IA,41.962169,-91.67315,1,rooftop,52404,Yes,191130025002008,POINT (-91.67315000000001 41.962169)
1600 WENIG CT NE,RESIDENTIAL,Cedar Rapids,IA,42.005564,-91.676891,1,rooftop,52402,Yes,191130009022011,POINT (-91.676891 42.005564)
1604 14TH AVE SE,RESIDENTIAL,Cedar Rapids,IA,41.971839,-91.647354,1,rooftop,52401,Yes,191130027001020,POINT (-91.64735400000001 41.971839)
1618 J AVE NE,RESIDENTIAL,Cedar Rapids,IA,41.999590000000005,-91.655407,1,rooftop,52402,Yes,191130013003002,POINT (-91.655407 41.99959)
1620 CENTER POINT RD NE,RESIDENTIAL,Cedar Rapids,IA,41.976612,-91.657578,1,place,52401,,191130027002008,POINT (-91.657578 41.976612)
1624 WENIG RD NE,RESIDENTIAL,Cedar Rapids,IA,42.006111,-91.677036,1,rooftop,52402,Yes,191130009022011,POINT (-91.677036 42.006111)
1626 A AVE NE,RESIDENTIAL,Cedar Rapids,IA,41.990843,-91.65046600000001,1,rooftop,52402,Yes,191130018003014,POINT (-91.65046600000001 41.990843)
